Number,year,New_Price,value,diff,Kilometers_Driven
3964,2012,8.55,4.69,3.86,50297
4361,2012,13.72,4.1,9.62,54500
4485,2012,11.16,3.4,7.76,34000
4652,2012,11.05,3.59,7.46,60818
5188,2012,16.6,5.25,11.35,79000
5229,2012,48.79,12.5,36.29,73000
5570,2012,15.94,6.75,9.19,80000
5604,2012,11.48,4,7.48,70000
5631,2012,13.7,4.25,9.45,75059
5695,2012,12.68,5.75,6.93,34000
5765,2012,5.92,2.75,3.17,40315
148,2013,128,37,91,23000
210,2013,8.54,3.25,5.29,45000
223,2013,9.12,3.7,5.42,107000
225,2013,5.29,2.65,2.64,32000
555,2013,12.34,6.75,5.59,105000
671,2013,11.33,5.43,5.9,37199
946,2013,34.6,12.49,22.11,132000
1030,2013,36.69,13.28,23.41,105072
1188,2013,15.72,5.9,9.82,87000
1200,2013,33.09,12.75,20.34,59000
1317,2013,9.5,2.5,7,86000
1320,2013,52.46,13.95,38.51,37613
1332,2013,5.54,2.96,2.58,79494
1589,2013,11.15,5.5,5.65,63000
1955,2013,13.59,5.25,8.34,57478
1994,2013,19.27,7.12,12.15,63854
2025,2013,4.98,3.75,1.23,54885
2059,2013,5.58,3.05,2.53,54000
2097,2013,71.15,21,50.15,85000
2138,2013,11.75,4.85,6.9,68000
2151,2013,8.44,5.65,2.79,84000
2370,2013,39.57,21.5,18.07,21000
2423,2013,47.87,17.99,29.88,25000
2445,2013,63.71,21.75,41.96,55000
2742,2013,63.71,19.5,44.21,90000
2977,2013,7.97,5.49,2.48,34900
3087,2013,48.79,13.08,35.71,85846
3239,2013,8.95,4.65,4.3,56454
3334,2013,7.83,3.85,3.98,84000
3500,2013,67.87,21.26,46.61,65000
3539,2013,14.72,5.8,8.92,65280
3731,2013,17.21,5.45,11.76,60000
3889,2013,8.75,4.95,3.8,77084
4061,2013,128,40.5,87.5,23312
4253,2013,7.36,3.15,4.21,32576
4470,2013,8.54,3.3,5.24,46500
4807,2013,32.54,7.25,25.29,80000
5086,2013,9.14,5.5,3.64,68434
5090,2013,15.57,5.5,10.07,79225
5183,2013,12.68,6.26,6.42,38622
5254,2013,20.87,7.5,13.37,170000
5308,2013,7.67,4.5,3.17,74000
5971,2013,10.15,3.5,6.65,65000
5989,2013,53.14,16.52,36.62,58629
6010,2013,6.63,3.2,3.43,33746
15,2014,32.01,15,17.01,110000
20,2014,47.87,18.55,29.32,32982
34,2014,12.33,6.98,5.35,55431
44,2014,23.64,8.85,14.79,46374
106,2014,6.41,3.9,2.51,53000
133,2014,4.53,2.6,1.93,88500
149,2014,60.88,26.5,34.38,48000
182,2014,69.47,33.5,35.97,51000
427,2014,44.28,28.5,15.78,11900
732,2014,11.85,5.7,6.15,55818
742,2014,5.57,3.2,2.37,35214
746,2014,42.48,23.5,18.98,60000
813,2014,4.29,2.3,1.99,49000
1017,2014,12.14,5.39,6.75,56658
1080,2014,8.56,3.95,4.61,40000
1097,2014,15.57,6.01,9.56,89614
1117,2014,42.12,22,20.12,34000
1256,2014,7.85,5.5,2.35,54000
1823,2014,22.43,8.9,13.53,49000
1872,2014,4.71,2.9,1.81,34669
1998,2014,8.27,3.67,4.6,64241
2166,2014,6.63,3.95,2.68,41460
2333,2014,15.06,5.65,9.41,51000
2371,2014,5.54,3.9,1.64,29202
2510,2014,54.43,21,33.43,18600
2694,2014,5.12,3.41,1.71,41994
2876,2014,59.38,24,35.38,56000
2879,2014,67.1,25,42.1,62000
2989,2014,5.04,3.25,1.79,25422
3129,2014,5.35,3.25,2.1,74663
3181,2014,5.51,3.45,2.06,52000
3451,2014,8.1,4.4,3.7,61325
3465,2014,7.52,4.5,3.02,69000
3480,2014,7.45,5.5,1.95,33496
3786,2014,8.26,4.5,3.76,115000
4069,2014,63.71,22.45,41.26,60280
4119,2014,5.56,3.41,2.15,38958
4141,2014,5.58,2.85,2.73,47200
4220,2014,12.27,7.75,4.52,46676
4221,2014,3.91,2.93,0.98,51349
4308,2014,11.44,7.56,3.88,53817
4563,2014,5.61,3.16,2.45,43628
4695,2014,9.99,5.75,4.24,57464
4844,2014,5.56,2.8,2.76,37000
4880,2014,4.59,3.01,1.58,52431
4942,2014,53.14,24.37,28.77,28469
5087,2014,4.48,2.1,2.38,17000
5260,2014,9.55,4.9,4.65,62322
5280,2014,10.94,3.49,7.45,38000
5321,2014,4.71,2.9,1.81,34670
5384,2014,7.63,3.7,3.93,36000
5448,2014,7.7,3.9,3.8,23500
5545,2014,139,64.75,74.25,47000
5644,2014,10.32,5.65,4.67,52951
5762,2014,45.67,21.5,24.17,51000
5795,2014,8.99,4.75,4.24,21000
5864,2014,15.01,8.25,6.76,70000
5879,2014,33.21,11.85,21.36,70000
6014,2014,7.88,4.75,3.13,27365
73,2015,16.65,6.92,9.73,56066
113,2015,54.43,20.75,33.68,56087
293,2015,8.85,4.85,4,62178
348,2015,58.67,25.99,32.68,30717
413,2015,60.88,25.5,35.38,41000
750,2015,16.04,10.65,5.39,18955
762,2015,7.65,2.5,5.15,72035
791,2015,5.72,4.32,1.4,72599
919,2015,15.29,8.65,6.64,30000
1044,2015,55.61,25,30.61,45000
1187,2015,15.14,7.2,7.94,40600
1192,2015,45.67,25,20.67,51000
1272,2015,32.45,18.9,13.55,65012
1274,2015,4.83,2.95,1.88,90413
1301,2015,7.13,5.25,1.88,14000
1495,2015,8.09,5,3.09,7445
1547,2015,9.26,3.1,6.16,90000
1717,2015,11.69,5,6.69,169000
1926,2015,48.18,22.24,25.94,42265
2056,2015,140,43.6,96.4,29966
2075,2015,7.69,4,3.69,40000
2079,2015,9.4,8.41,0.99,2800
2094,2015,8.36,5.25,3.11,28193
2098,2015,6.82,4.3,2.52,20780
2182,2015,39.6,23,16.6,150386
2245,2015,5.88,3.1,2.78,55000
2326,2015,23.64,9.69,13.95,58239
2400,2015,10.17,7.25,2.92,33000
2428,2015,11.67,4.85,6.82,82000
2448,2015,7.85,6.2,1.65,65743
2649,2015,9.09,5.99,3.1,29000
2699,2015,48.64,27.5,21.14,51000
2700,2015,5.71,3.5,2.21,64876
2922,2015,9.58,6,3.58,150000
3040,2015,7.88,5.36,2.52,53500
3078,2015,12.02,4.68,7.34,39822
3142,2015,6.23,3.95,2.28,22000
3180,2015,5.36,3.72,1.64,47001
3194,2015,34.89,24.77,10.12,27641
3203,2015,15.29,8.95,6.34,19000
3266,2015,87.57,48,39.57,7501
3358,2015,6,3.5,2.5,55000
3524,2015,8.13,5.1,3.03,63310
3537,2015,8.79,6.3,2.49,37000
3752,2015,160,70.66,89.34,38467
3777,2015,5.44,4.11,1.33,49818
4205,2015,12.23,5.49,6.74,39000
4236,2015,50.4,21.66,28.74,13506
4481,2015,36.94,15.5,21.44,19000
4523,2015,34.6,16.42,18.18,53497
4612,2015,8.68,5.43,3.25,81828
4788,2015,37.9,24,13.9,38000
4826,2015,4.09,3.46,0.63,23876
4998,2015,9.56,4.91,4.65,66000
5133,2015,8.69,5.27,3.42,27000
5172,2015,23.37,10.77,12.6,53920
5178,2015,5.87,3.8,2.07,64687
5181,2015,7.63,4.52,3.11,39208
5261,2015,4.09,3.69,0.4,37929
5313,2015,67.67,35.5,32.17,20000
5324,2015,8.18,4.25,3.93,59261
5328,2015,53.68,29.5,24.18,47000
5332,2015,6.05,4.3,1.75,48808
5353,2015,10.83,7.4,3.43,26323
5375,2015,7.01,5.15,1.86,39437
5450,2015,6.43,3.65,2.78,26000
5527,2015,6.41,4.57,1.84,64005
5534,2015,9.47,4.6,4.87,34895
5778,2015,15.06,6.25,8.81,58817
5830,2015,13.33,8,5.33,82000
7,2016,21,17.5,3.5,36000
117,2016,9.51,6.55,2.96,39882
119,2016,9.96,7.5,2.46,55000
193,2016,12.74,8.5,4.24,33000
201,2016,11.98,9,2.98,20000
298,2016,25.4,20.25,5.15,48000
343,2016,9.12,7.15,1.97,45000
423,2016,60.59,24.5,36.09,47000
442,2016,11.28,7.7,3.58,82756
457,2016,43.65,20.37,23.28,86642
458,2016,62.07,36.5,25.57,19235
519,2016,14.84,8,6.84,69434
562,2016,19.21,17,2.21,100200
604,2016,15.86,9.45,6.41,25000
618,2016,10.65,8.9,1.75,21558
632,2016,42.12,29.5,12.62,11000
784,2016,13.74,10.9,2.84,21000
802,2016,78.76,56,22.76,21000
838,2016,11.67,7.5,4.17,215000
897,2016,4.37,2.66,1.71,20487
942,2016,9.53,6.5,3.03,29000
954,2016,11.15,6.21,4.94,38000
1056,2016,13.26,7.94,5.32,74611
1065,2016,28.05,20.5,7.55,108000
1072,2016,11.27,7,4.27,130000
1140,2016,26.56,19.75,6.81,69000
1146,2016,11.01,3.5,7.51,40448
1149,2016,7.55,5.68,1.87,51672
1243,2016,11.67,6.15,5.52,85000
1305,2016,50.97,29.5,21.47,31000
1336,2016,104,67,37,20002
1381,2016,15.05,11.5,3.55,45000
1407,2016,24.82,15.49,9.33,66618
1412,2016,7.63,4,3.63,43706
1443,2016,4.53,3.5,1.03,10000
1490,2016,18.35,12.5,5.85,55000
1494,2016,9.19,5.8,3.39,58095
1525,2016,13.23,7.7,5.53,29200
1542,2016,11.39,9.25,2.14,19000
1545,2016,35,23.5,11.5,20000
1708,2016,48.64,28.03,20.61,58661
1784,2016,8.1,6.01,2.09,43041
1798,2016,7,5.1,1.9,23555
1803,2016,11.26,7.25,4.01,28000
1841,2016,34.63,17.25,17.38,17000
1920,2016,8.58,5.75,2.83,45376
1961,2016,11.02,9.3,1.72,41372
2003,2016,48.18,28.5,19.68,28143
2014,2016,7.33,5.5,1.83,42000
2030,2016,23.06,17.11,5.95,25121
2086,2016,8.1,5.89,2.21,37429
2090,2016,6.08,3.94,2.14,47691
2127,2016,7.36,5.8,1.56,12573
2157,2016,16.06,11,5.06,24347
2187,2016,25.75,17.75,8,13000
2195,2016,5.29,3.6,1.69,16956
2224,2016,8.82,6.71,2.11,36681
2239,2016,5.61,3.6,2.01,42700
2290,2016,7.88,5.22,2.66,62192
2309,2016,21.77,13.9,7.87,28000
2334,2016,34.45,22.5,11.95,88008
2397,2016,9.47,6,3.47,21460
2414,2016,9.58,6.29,3.29,22000
2454,2016,16.36,10.25,6.11,29477
2496,2016,15.86,8.95,6.91,25500
2528,2016,113,36.75,76.25,59000
2589,2016,6.14,4.15,1.99,8000
2592,2016,4.82,3.15,1.67,13198
2604,2016,44.28,35,9.28,15000
2622,2016,11.27,6.5,4.77,54000
2648,2016,13.58,8,5.58,9200
2701,2016,5.87,4.58,1.29,70536
2709,2016,8.16,5.47,2.69,40866
2770,2016,8.78,6.75,2.03,12208
2957,2016,6.78,4.25,2.53,41000
3012,2016,7.27,5.95,1.32,52000
3052,2016,8.84,3.5,5.34,50000
3067,2016,11.67,5.85,5.82,93166
3256,2016,8.71,5.9,2.81,31378
3277,2016,35,23.8,11.2,32298
3374,2016,14.11,8.9,5.21,68163
3471,2016,15.68,10.3,5.38,45492
3501,2016,20.48,11.5,8.98,16471
3578,2016,9.04,5.74,3.3,20000
3581,2016,55.07,35,20.07,27000
3651,2016,12.53,6.99,5.54,45296
3674,2016,4.98,4.3,0.68,42225
3706,2016,60.88,29.95,30.93,31000
3738,2016,6.82,4.87,1.95,29091
3747,2016,10.14,8,2.14,35299
3842,2016,13.33,9.9,3.43,42000
3907,2016,21.1,16.45,4.65,40000
3911,2016,33.36,20.75,12.61,14500
3935,2016,27.07,19,8.07,50296
3944,2016,4.36,3,1.36,7000
4026,2016,4.24,3.2,1.04,51264
4028,2016,41.02,24.5,16.52,40000
4104,2016,30.19,16.81,13.38,54253
4125,2016,4.43,2.75,1.68,26239
4134,2016,12.9,8.02,4.88,34004
4188,2016,10.99,8.2,2.79,86000
4208,2016,11.63,7.7,3.93,33000
4237,2016,4.78,2.99,1.79,16000
4273,2016,33.36,17.85,15.51,53000
4284,2016,26.55,19.6,6.95,42000
4301,2016,11.96,8.85,3.11,47300
4318,2016,24.63,18,6.63,42388
4373,2016,23.14,16.5,6.64,54000
4446,2016,13.58,13,0.58,50000
4487,2016,13.6,7.97,5.63,52378
4516,2016,4.87,3.75,1.12,55000
4527,2016,92.79,65,27.79,29000
4554,2016,62.11,27,35.11,70000
4571,2016,3.91,3,0.91,35027
4633,2016,4.78,3,1.78,26000
4680,2016,11.27,7.64,3.63,54161
4706,2016,26.95,19.5,7.45,80000
4755,2016,74.49,42,32.49,52000
4780,2016,19.18,10.8,8.38,93000
4819,2016,3.98,2.25,1.73,15000
4873,2016,8.8,6.95,1.85,16000
4929,2016,14.23,9.7,4.53,69000
4988,2016,78.31,48,30.31,27000
4989,2016,42.89,18.9,23.99,39000
5107,2016,79.43,49,30.43,50000
5118,2016,95.13,60.75,34.38,28541
5135,2016,10.81,7.4,3.41,14980
5212,2016,14.2,8.45,5.75,34000
5256,2016,11.96,8.9,3.06,85000
5262,2016,5.45,3.98,1.47,5400
5290,2016,10.15,6.3,3.85,29647
5316,2016,7.43,3.7,3.73,100303
5350,2016,10.04,6.75,3.29,20000
5357,2016,11.15,7.21,3.94,65000
5366,2016,19.37,16.5,2.87,73000
5419,2016,25.27,11.99,13.28,82725
5420,2016,57.3,29.99,27.31,19000
5427,2016,5.68,4.25,1.43,30000
5431,2016,11.75,8.25,3.5,22000
5447,2016,38.72,24.46,14.26,26212
5451,2016,8.23,5,3.23,26000
5484,2016,19.18,13.82,5.36,47392
5509,2016,3.96,2.55,1.41,26000
5513,2016,4.24,3,1.24,35000
5518,2016,39.27,28.95,10.32,21110
5558,2016,71.82,30.37,41.45,75637
5564,2016,54.43,21.33,33.1,62404
5650,2016,4.43,2.2,2.23,126000
5799,2016,15.68,10,5.68,19000
5808,2016,5.77,3.8,1.97,30000
5854,2016,6.62,5.07,1.55,28147
5905,2016,8.09,4.6,3.49,125000
5974,2016,8.09,5.75,2.34,34005
5982,2016,21,13.5,7.5,39000
5999,2016,7.77,4,3.77,10000
6005,2016,9.93,7.43,2.5,37208
60,2017,19.34,16.5,2.84,22000
81,2017,6.67,4.5,2.17,70000
102,2017,6.45,3.95,2.5,32851
110,2017,27,19.25,7.75,30000
111,2017,5.13,3.91,1.22,38053
134,2017,95.04,54,41.04,13372
187,2017,8.78,7.5,1.28,24773
200,2017,10.52,6.5,4.02,29000
219,2017,33.58,26,7.58,26000
228,2017,44.28,35.67,8.61,26327
256,2017,25.52,18.65,6.87,43000
264,2017,95.13,61.29,33.84,29819
277,2017,8.34,3.75,4.59,121900
303,2017,16.67,12.69,3.98,15000
310,2017,79.43,57,22.43,29000
327,2017,104,62.67,41.33,97430
352,2017,4.48,3.75,0.73,30000
355,2017,72.64,52,20.64,21000
365,2017,44.59,35,9.59,8350
372,2017,12,9.49,2.51,39000
380,2017,14.65,9.48,5.17,35676
389,2017,53.72,34.5,19.22,9000
414,2017,12.51,8.5,4.01,9000
417,2017,9.74,6.9,2.84,40250
446,2017,11.48,7.1,4.38,15000
489,2017,100,56,44,129000
549,2017,48.18,29.4,18.78,31645
558,2017,15.38,10.5,4.88,31000
615,2017,19.43,17.5,1.93,52000
635,2017,16.95,11.25,5.7,37000
636,2017,15.45,10.79,4.66,32249
639,2017,7.87,5.7,2.17,7000
657,2017,15.02,9.25,5.77,18000
668,2017,12.56,11.31,1.25,18108
697,2017,26.45,18.75,7.7,64798
714,2017,10.34,8.5,1.84,13000
731,2017,7.46,4.9,2.56,14000
741,2017,10.41,7.75,2.66,63939
825,2017,10.04,6.45,3.59,51000
850,2017,25.52,18.6,6.92,43200
878,2017,4.78,3.25,1.53,63262
880,2017,6.14,5,1.14,7500
940,2017,24.26,20,4.26,52000
1012,2017,19.37,16.5,2.87,67489
1039,2017,23.68,17.75,5.93,4000
1094,2017,9.46,6.5,2.96,35000
1103,2017,19.86,12,7.86,55000
1139,2017,6.54,5,1.54,8471
1141,2017,15.05,11.44,3.61,30090
1157,2017,7.82,5.98,1.84,20000
1197,2017,22.87,20.4,2.47,24393
1226,2017,23.25,18,5.25,21000
1247,2017,7.92,6.24,1.68,34613
1472,2017,21.77,16.35,5.42,9500
1519,2017,11.52,9.15,2.37,28226
1531,2017,15.34,10.5,4.84,31300
1544,2017,9.79,7.29,2.5,30279
1558,2017,8.68,7.23,1.45,22389
1568,2017,66.39,41.5,24.89,40000
1574,2017,36.45,24.9,11.55,50510
1631,2017,50.97,30.29,20.68,32838
1652,2017,53.41,38,15.41,4000
1677,2017,6.54,4.9,1.64,12248
1725,2017,11.11,8.2,2.91,5500
1747,2017,4.98,4.74,0.24,28371
1754,2017,4.98,4.25,0.73,15000
1783,2017,6.33,5.23,1.1,37832
1793,2017,6.4,5,1.4,31184
1794,2017,11.26,9,2.26,41747
1805,2017,7.43,5.25,2.18,40000
1824,2017,24.02,17.45,6.57,7000
1830,2017,95.13,64.87,30.26,33552
1902,2017,34.45,30,4.45,15000
1923,2017,12.67,8.09,4.58,78526
1932,2017,11.89,8.99,2.9,26000
1934,2017,10.48,8.2,2.28,24000
1963,2017,41.94,23.5,18.44,35000
2008,2017,22.87,16.5,6.37,67000
2054,2017,7.87,6.36,1.51,1000
2073,2017,42.48,34,8.48,2000
2111,2017,78.76,56.73,22.03,25601
2120,2017,9.78,7.53,2.25,59450
2134,2017,38.11,31,7.11,29000
2160,2017,15.29,11.6,3.69,17000
2178,2017,127,41.6,85.4,35000
2185,2017,10.91,8,2.91,80000
2220,2017,8.05,5.99,2.06,20000
2231,2017,5.69,5.11,0.58,21799
2233,2017,26.56,22.99,3.57,35358
2251,2017,16.95,12.9,4.05,46000
2275,2017,11.47,8.45,3.02,39000
2380,2017,13.7,8.11,5.59,32000
2387,2017,11.16,7.65,3.51,65000
2410,2017,11.47,9,2.47,48324
2413,2017,8.17,5.92,2.25,20773
2446,2017,64.14,45,19.14,25000
2455,2017,37.38,30,7.38,40000
2459,2017,11.89,8.99,2.9,30000
2464,2017,6.62,4.5,2.12,47000
2485,2017,11.75,9.38,2.37,45362
2533,2017,45.36,27.87,17.49,20969
2545,2017,11.77,7.57,4.2,37712
2569,2017,28.05,20.14,7.91,65367
2607,2017,15.72,11.5,4.22,50000
2667,2017,6.83,4.25,2.58,100000
2702,2017,12.56,10.34,2.22,25299
2711,2017,44.28,35.98,8.3,20469
2745,2017,11.12,9.13,1.99,38426
2763,2017,24.01,17.92,6.09,72202
2774,2017,11.26,8.25,3.01,27853
2801,2017,5.42,4.28,1.14,53285
2808,2017,91.23,64.95,26.28,19863
2853,2017,11.26,7.75,3.51,25000
2860,2017,7.97,6,1.97,98500
2878,2017,15.86,9.6,6.26,33550
2900,2017,33.68,20,13.68,34429
2920,2017,23.06,17.65,5.41,38000
2937,2017,20.8,18.25,2.55,18000
2959,2017,19.91,16.9,3.01,37000
2970,2017,8.93,5,3.93,72000
2994,2017,7.35,4.5,2.85,43000
3080,2017,3.95,3.46,0.49,24214
3127,2017,11.29,9.51,1.78,35981
3158,2017,47.16,21.73,25.43,61221
3168,2017,7.63,4.65,2.98,48198
3186,2017,8.1,6.08,2.02,62788
3217,2017,14.67,7.7,6.97,35000
3219,2017,12.57,8.5,4.07,11000
3244,2017,23.19,17.5,5.69,15050
3259,2017,44.75,27,17.75,31000
3373,2017,13.76,11.15,2.61,7500
3381,2017,9.12,8.61,0.51,35384
3448,2017,10.32,8.25,2.07,32248
3518,2017,15.05,12.46,2.59,42646
3544,2017,25.54,20,5.54,45000
3550,2017,16.84,12,4.84,42000
3572,2017,69.37,39.84,29.53,36824
3582,2017,10.97,8.9,2.07,19000
3648,2017,10.1,6.95,3.15,17978
3662,2017,20.87,14.25,6.62,39800
3687,2017,11.66,8.27,3.39,50534
3719,2017,13.23,9.99,3.24,14000
3726,2017,11.06,9.25,1.81,33000
3732,2017,6.56,5.25,1.31,35225
3745,2017,12.56,11.39,1.17,26927
3759,2017,4.82,3.25,1.57,12000
3784,2017,26.55,19.97,6.58,26023
3793,2017,10.06,5.85,4.21,27768
3927,2017,11.56,8.25,3.31,19416
4079,2017,230,160,70,25000
4096,2017,40.62,26.11,14.51,23249
4147,2017,8.58,6.67,1.91,54758
4163,2017,28.05,20.5,7.55,53841
4164,2017,15.86,11.31,4.55,47183
4180,2017,19.18,11.45,7.73,101065
4181,2017,7.36,6.37,0.99,15134
4265,2017,4.04,3.31,0.73,27509
4327,2017,50.26,29,21.26,27001
4334,2017,7.45,5.87,1.58,38712
4401,2017,6.29,5,1.29,16500
4447,2017,7.48,5.66,1.82,51223
4463,2017,7.82,5.99,1.83,22500
4472,2017,5.44,4.5,0.94,39867
4532,2017,5.8,3.95,1.85,17000
4560,2017,8.71,6.8,1.91,36973
4590,2017,11,9.75,1.25,45000
4649,2017,10.83,8.9,1.93,15000
4689,2017,37.17,28.85,8.32,72668
4773,2017,8.03,6.28,1.75,37460
4811,2017,11.71,9.66,2.05,28599
4858,2017,55.61,43,12.61,14000
4894,2017,10.63,8.4,2.23,24000
4907,2017,12.68,10,2.68,29000
4914,2017,59.77,46.95,12.82,24000
4950,2017,8.91,6,2.91,60048
4981,2017,9.1,7.9,1.2,8000
5002,2017,64.76,32.57,32.19,36723
5009,2017,99.92,68,31.92,59500
5018,2017,11.05,8.4,2.65,17151
5049,2017,18.45,15,3.45,27000
5059,2017,9.89,9.05,0.84,58829
5078,2017,11,9.88,1.12,21789
5111,2017,7.94,3.75,4.19,45000
5166,2017,42.4,27,15.4,39000
5207,2017,4.93,4.41,0.52,53105
5211,2017,11.28,8.14,3.14,68557
5230,2017,10.42,7.69,2.73,63423
5241,2017,11.27,8.75,2.52,21800
5266,2017,8.38,6.69,1.69,14576
5267,2017,15.02,9.5,5.52,17000
5279,2017,6.59,4.8,1.79,65000
5304,2017,62.07,35,27.07,21000
5310,2017,9.97,6.9,3.07,25000
5359,2017,8.23,4.2,4.03,51000
5415,2017,8.13,5.5,2.63,42000
5465,2017,5.44,3.85,1.59,35362
5507,2017,7.91,6,1.91,48000
5542,2017,20.74,18.36,2.38,20789
5568,2017,55.07,35.84,19.23,34232
5625,2017,7.15,5.5,1.65,16235
5626,2017,33.36,17.08,16.28,73641
5679,2017,14.2,10,4.2,28000
5680,2017,6.54,4.75,1.79,46000
5708,2017,15.02,9.5,5.52,16503
5757,2017,21.36,16.95,4.41,31000
5788,2017,6.42,4.8,1.62,22000
5819,2017,4.78,3.7,1.08,21954
5828,2017,9.51,5.85,3.66,54387
5867,2017,40.73,25.75,14.98,35000
5872,2017,11.75,9.44,2.31,21248
5907,2017,15.05,11.86,3.19,34686
5923,2017,36.94,22.99,13.95,42000
5947,2017,10.65,8,2.65,28000
5981,2017,8.78,7.5,1.28,6000
5987,2017,5.56,5.11,0.45,15386
10,2018,10.65,9.95,0.7,25692
28,2018,10.57,9.9,0.67,37430
36,2018,11.12,8.63,2.49,50075
69,2018,11.81,10.5,1.31,13000
122,2018,14.44,10.95,3.49,10250
290,2018,8.34,5.25,3.09,45000
401,2018,33.91,28,5.91,12000
418,2018,95.38,70.99,24.39,22397
456,2018,11.26,8.92,2.34,12923
473,2018,86.97,51.43,35.54,26405
568,2018,22.95,19,3.95,29000
578,2018,10.32,8.12,2.2,33558
603,2018,59.77,48.5,11.27,10003
756,2018,9.1,8.46,0.64,20024
809,2018,10.34,8.5,1.84,12000
869,2018,8.56,5.9,2.66,25302
875,2018,27,19.92,7.08,41736
941,2018,75.12,59.72,15.4,31427
952,2018,26.45,18.39,8.06,92056
962,2018,52.26,39.5,12.76,8682
1001,2018,4.8,4.45,0.35,1900
1050,2018,14.1,12.41,1.69,18385
1110,2018,6.59,5.88,0.71,9565
1113,2018,86.97,51.35,35.62,20446
1147,2018,11,10.46,0.54,64456
1159,2018,6.32,4.77,1.55,50234
1242,2018,52.77,40,12.77,1000
1270,2018,15.55,11.97,3.58,22974
1362,2018,4.33,3.6,0.73,2100
1363,2018,8.63,7.55,1.08,20667
1393,2018,7.98,6.2,1.78,3000
1427,2018,22.86,19.92,2.94,8899
1437,2018,11.06,9.2,1.86,17000
1497,2018,23.25,17.49,5.76,28321
1529,2018,10.06,6.69,3.37,38310
1689,2018,67.87,37.3,30.57,32586
1690,2018,95.13,70.8,24.33,40129
1692,2018,6.62,6.03,0.59,10393
1704,2018,9.44,7.8,1.64,1700
1773,2018,10.57,9.29,1.28,15135
1842,2018,6.32,5.53,0.79,46493
1885,2018,102,79,23,6000
1886,2018,6.71,5.75,0.96,9434
1896,2018,8.68,7.27,1.41,35569
1991,2018,21.38,17.02,4.36,28937
1995,2018,12.88,11.25,1.63,3000
2013,2018,7.37,6.76,0.61,5354
2061,2018,22.46,19.05,3.41,33218
2229,2018,17.38,14.21,3.17,20300
2292,2018,11.37,9.18,2.19,38394
2341,2018,41.94,28.9,13.04,10000
2509,2018,70.55,56.5,14.05,11000
2534,2018,10.13,8.75,1.38,2900
2536,2018,14.22,11.92,2.3,5833
